citation_key,source_group,cited_in_manuscript,citation_locations,cited_in_axm,citation_locations_axm,cited_in_legacy,citation_locations_legacy,entry_type,authors,title,year,venue,volume,number,pages,doi,document_url,landing_page_url,abstract,abstract_type,abstract_source_url,metadata_source,verification_status,topics,evidence_type,method,key_results,use_in_axm,limits_for_axm,notes,last_verified
aghionhowitt1992,manuscript_bibliography,yes,sections/01_introduction.tex:234; sections/02_literature.tex:9; sections_axm/02_literature.tex:5,yes,sections_axm/02_literature.tex:5,yes,sections/01_introduction.tex:234; sections/02_literature.tex:9,article,"Aghion, Philippe and Howitt, Peter",A Model of Growth through Creative Destruction,1992,Econometrica,60,2,323--351,10.2307/2951599,https://doi.org/10.2307/2951599,https://doi.org/10.2307/2951599,"This paper develops a model based on Schumpeter's process of creative destruction. It departs from existing models of endogenous growth in emphasizing obsolescence of old technologies induced by the accumulation of knowledge and the resulting process or industrial innovations. This has both positive and normative implications for growth. In positive terms, the prospect of a high level of research in the future can deter research today by threatening the fruits of that research with rapid obsolescence. In normative terms, obsolescence creates a negative externality from innovations, and hence a tendency for laissez-faire economies to generate too many innovations, i.e too much growth. This business-stealing effect is partly compensated by the fact that innovations tend to be too small under laissez-faire. The model possesses a unique balanced growth equilibrium in which the log of GNP follows a random walk with drift. The size of the drift is the average growth rate of the economy and it is endogenous to the model ; in particular it depends on the size and likelihood of innovations resulting from research and also on the degree of market power available to an innovator.",openalex_indexed_abstract,https://openalex.org/W2129385606,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
rebelo1991,manuscript_bibliography,yes,sections/02_literature.tex:21; sections_axm/02_literature.tex:67,yes,sections_axm/02_literature.tex:67,yes,sections/02_literature.tex:21,article,"Rebelo, Sergio",Long-Run Policy Analysis and Long-Run Growth,1991,Journal of Political Economy,99,3,500--521,10.1086/261764,https://doi.org/10.1086/261764,https://doi.org/10.1086/261764,The paper describes endogenous-growth models in which policy differences can generate persistent cross-country differences in growth rates. Growth is possible without increasing returns because a core of accumulable capital goods can be produced without direct or indirect use of nonaccumulable factors.,source_abstract,https://ideas.repec.org/a/ucp/jpolec/v99y1991i3p500-521.html,Journal of Political Economy/RePEc,official_landing_page,,,,,,,,2026-08-17
jonesmanuelli1990,manuscript_bibliography,yes,sections/02_literature.tex:20; sections_axm/02_literature.tex:67,yes,sections_axm/02_literature.tex:67,yes,sections/02_literature.tex:20,article,"Jones, Larry E. and Manuelli, Rodolfo E.",A Convex Model of Equilibrium Growth: Theory and Policy Implications,1990,Journal of Political Economy,98,"5, Part 1",1008--1038,10.1086/261717,https://www.nber.org/system/files/working_papers/w3241/w3241.pdf,https://www.journals.uchicago.edu/doi/abs/10.1086/261717,"The paper develops a convex equilibrium-growth model with fixed factors in which the marginal product of capital need not converge to zero. It provides existence and characterization results and shows how tastes, technology, taxation, and trade can affect long-run growth.",source_abstract,https://www.journals.uchicago.edu/doi/abs/10.1086/261717,Journal of Political Economy,official_landing_page,,,,,,,,2026-08-17
romer1990,manuscript_bibliography,yes,sections/01_introduction.tex:234; sections/02_literature.tex:8; sections_axm/02_literature.tex:5,yes,sections_axm/02_literature.tex:5,yes,sections/01_introduction.tex:234; sections/02_literature.tex:8,article,"Romer, Paul M.",Endogenous Technological Change,1990,Journal of Political Economy,98,"5, Part 2",S71--S102,10.1086/261725,https://doi.org/10.1086/261725,https://doi.org/10.1086/261725,"Growth in this model is driven by technological change that arises from intentional investment decisions made by profit-maximizing agents. The distinguishing feature of the technology as an input is that it is neither a conventional good nor a public good; it is a nonrival, partially excludable good. Because of the nonconvexity introduced by a nonrival good, price-taking competition cannot be supported. Instead, the equilibrium is one with monopolistic competition. The main conclusions are that the stock of human capital determines the rate of growth, that too little human capital is devoted to research in equilibrium, that integration into world markets will increase growth rates, and that having a large population is not sufficient to generate growth.",openalex_indexed_abstract,https://openalex.org/W2162484441,OpenAlex,doi_metadata_matched,,,,,,,,2026-08-17
holmstrom1979,manuscript_bibliography,yes,sections/06_conclusion.tex:210,no,,yes,sections/06_conclusion.tex:210,article,"Holmstr\""om, Bengt",Moral Hazard and Observability,1979,The Bell Journal of Economics,10,1,74--91,10.2307/3003320,https://www.jstor.org/stable/3003320,https://www.jstor.org/stable/3003320,The paper develops a principal-agent model in which effort is not directly observable and shows how informative performance signals shape optimal incentive contracts. It establishes the informativeness principle and clarifies why imperfect monitoring creates a tradeoff between insurance and incentives.,editorial_summary,https://www.jstor.org/stable/3003320,JSTOR,manual_url,,,,,,,No conventional abstract was available in the metadata consulted; this is an editorial synopsis.,2026-08-17
revankar1971,conversation_addition,no,,no,,no,,article,"Revankar, Nagesh S.",A Class of Variable Elasticity of Substitution Production Functions,1971,Econometrica,39,1,61--71,10.2307/1909140,https://doi.org/10.2307/1909140,https://doi.org/10.2307/1909140,"The paper introduces a class of production functions in which the elasticity of substitution varies with input proportions or scale, nesting familiar constant-elasticity cases under parameter restrictions.",editorial_summary,https://doi.org/10.2307/1909140,OpenAlex,doi_metadata_matched,variable elasticity of substitution; production functions; VES,,,,,,No conventional abstract was available in the metadata consulted; this is an editorial synopsis.,2026-08-17
satohofmann1968,conversation_addition,no,,no,,no,,article,"Sato, Ryuzo and Hoffman, Ronald F.",Production Functions with Variable Elasticities of Factor Substitution: Some Analysis and Testing,1968,Review of Economics and Statistics,50,4,453--460,10.2307/1926813,https://doi.org/10.2307/1926813,https://doi.org/10.2307/1926813,The paper analyzes production functions whose elasticity of factor substitution is not constant and studies how those specifications can be taken to the data.,editorial_summary,https://doi.org/10.2307/1926813,OpenAlex,doi_metadata_matched,variable elasticity of substitution; production functions; empirical testing,,,,,,No conventional abstract was available in the metadata consulted; this is an editorial synopsis.,2026-08-17
good1965,conversation_addition,no,,no,,no,,incollection,"Good, I. J.",Speculations Concerning the First Ultraintelligent Machine,1965,Advances in Computers,6,,31--88,10.1016/S0065-2458(08)60418-0,https://vtechworks.lib.vt.edu/bitstreams/a5e423ee-54e0-4eec-aeca-32b73f851af5/download,https://www.sciencedirect.com/science/article/pii/S0065245808604180,"Good argues that a machine able to design better machines could initiate an intelligence explosion. The chapter surveys questions surrounding the construction, embodiment, learning, and control of such a system.",editorial_summary,https://www.sciencedirect.com/science/article/pii/S0065245808604180,OpenAlex,doi_metadata_matched,intelligence explosion; recursive self-improvement; superintelligence,,,,,,No conventional abstract was available in the metadata consulted. This is an editorial synopsis. Some databases date the volume 1966; the chapter is conventionally cited as 1965.,2026-08-17
pitchford1960,manuscript_bibliography,yes,sections/02_literature.tex:18; sections/03_toy_model.tex:793; sections_axm/02_literature.tex:67,yes,sections_axm/02_literature.tex:67,yes,sections/02_literature.tex:18; sections/03_toy_model.tex:793,article,"Pitchford, John D.",Growth and the Elasticity of Factor Substitution,1960,Economic Record,36,76,491--504,10.1111/j.1475-4932.1960.tb00537.x,https://doi.org/10.1111/j.1475-4932.1960.tb00537.x,https://doi.org/10.1111/j.1475-4932.1960.tb00537.x,"The paper replaces Cobb-Douglas production in the Swan growth model with a constant-elasticity technology and characterizes how factor substitution changes capital accumulation, income growth, and the relation between growth and the saving rate.",editorial_summary,https://doi.org/10.1111/j.1475-4932.1960.tb00537.x,Wiley,official_landing_page,,,,,,,No conventional abstract was available on the publisher page; this is an editorial synopsis.,2026-08-17
vonfoerster1960,conversation_addition,no,,no,,no,,article,"von Foerster, Heinz and Mora, Patricia M. and Amiot, Lawrence W.","Doomsday: Friday, 13 November, A.D. 2026",1960,Science,132,3436,1291--1295,10.1126/science.132.3436.1291,https://pubmed.ncbi.nlm.nih.gov/13782058/,https://pubmed.ncbi.nlm.nih.gov/13782058/,"The authors fit a hyperbolic law to historical world population data and extrapolate a finite date at which the fitted population path diverges. The exercise is an antecedent of mathematical finite-time singularity models, not a forecast supported by later demographic evidence.",editorial_summary,https://pubmed.ncbi.nlm.nih.gov/13782058/,OpenAlex,doi_metadata_matched,population; finite-time singularity; hyperbolic growth,,,,,,PubMed explicitly reports that no abstract is available; this is an editorial synopsis.,2026-08-17
solow1956,manuscript_bibliography,yes,sections/02_literature.tex:18,no,,yes,sections/02_literature.tex:18,article,"Solow, Robert M.",A Contribution to the Theory of Economic Growth,1956,Quarterly Journal of Economics,70,1,65--94,10.2307/1884513,https://academic.oup.com/qje/article-abstract/70/1/65/1903777,https://academic.oup.com/qje/article-abstract/70/1/65/1903777,"The paper develops a neoclassical growth model in which flexible factor substitution replaces the fixed-coefficient technology of Harrod and Domar. Its examples show how saving, population growth, and the shape of the production function determine whether capital intensity converges or continues to rise.",editorial_summary,https://academic.oup.com/qje/article-abstract/70/1/65/1903777,Oxford Academic,official_landing_page,,,,,,,The publisher page provides an article outline rather than a conventional abstract; this is an editorial synopsis.,2026-08-17
